"","brand","processor_brand","price","ratings","reviews"
"1","Lenovo","AMD",384.461538461538,63,12
"2","Lenovo","AMD",301.384615384615,1894,256
"3","HP","AMD",321.538461538462,1185,141
"4","Lenovo","AMD",336.861538461538,219,18
"5","HP","AMD",413.830769230769,0,0
"6","acer","AMD",492.153846153846,76,13
"7","ASUS","Intel",533.061538461538,3,0
"8","Lenovo","Intel",599.984615384615,65,5
"9","Lenovo","Intel",615.369230769231,8,1
"10","ASUS","Intel",1076.76923076923,0,0
"11","ASUS","Intel",415.230769230769,0,0
"12","ASUS","Intel",353.692307692308,0,0
"13","ASUS","Intel",338.307692307692,31,3
"14","ASUS","Intel",904.6,0,0
"15","Lenovo","Intel",769.215384615385,0,0
"16","acer","AMD",846,3190,414
"17","acer","AMD",922.923076923077,1946,240
"18","acer","AMD",1441.53846153846,259,47
"19","acer","AMD",1122.92307692308,425,67
"20","ASUS","Intel",353.692307692308,0,0
"21","ASUS","Intel",553.692307692308,0,0
"22","HP","Intel",869.076923076923,0,0
"23","HP","Intel",1006,0,0
"24","Lenovo","Intel",492.292307692308,286,19
"25","HP","Intel",499.846153846154,58,6
"26","Lenovo","Intel",489.215384615385,0,0
"27","ASUS","Intel",459.846153846154,7,0
"28","ASUS","Intel",369.076923076923,15279,1947
"29","HP","Intel",507,311,27
"30","HP","Intel",710.769230769231,47,7
"31","ASUS","Intel",529.676923076923,37,6
"32","Lenovo","Intel",584.461538461538,2080,235
"33","ASUS","Intel",553.692307692308,1479,181
"34","ASUS","Intel",522.769230769231,67,3
"35","HP","Intel",615.230769230769,273,30
"36","DELL","Intel",607.538461538462,1267,171
"37","HP","Intel",830.615384615385,14,0
"38","acer","Intel",599.846153846154,0,0
"39","ASUS","Intel",584.461538461538,284,39
"40","ASUS","Intel",582.923076923077,44,5
"41","Lenovo","Intel",599.846153846154,33,4
"42","Lenovo","Intel",584.461538461538,286,36
"43","DELL","Intel",646,10,5
"44","ASUS","Intel",707.538461538462,816,147
